ngram,frequency
"('invest', 'strategi')",285
"('asset', 'manag')",194
"('real', 'estat')",142
"('asset', 'alloc')",134
"('asset', 'class')",131
"('jan', 'jan')",117
"('haver', 'analyt')",113
"('total', 'return')",111
"('fix', 'incom')",111
"('polici', 'rate')",106
"('feder', 'reserv')",105
"('gdp', 'growth')",100
"('central', 'bank')",92
"('emerg', 'market')",91
"('global', 'invest')",82
"('hedg', 'fund')",80
"('jun', 'jun')",74
"('ing', 'forecast')",73
"('insight', 'simpl')",72
"('financi', 'condit')",70
"('inflat', 'expect')",70
"('cash', 'flow')",70
"('global', 'macro')",70
"('rate', 'hike')",68
"('stock', 'bond')",68
"('monetari', 'polici')",67
"('equiti', 'market')",65
"('macro', 'asset')",65
"('alloc', 'analysi')",61
"('balanc', 'sheet')",60
