,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
inflation,0.25730616,-0.013730367,0.14152183,0.15484819,0.09012376,-0.43605644,0.017068753,0.5952472,-0.28607544,-0.3575067,0.115481965,-0.2295016,-0.32763737,0.031699117,0.17034382,0.07211554,-0.016037952,-0.12323605,-0.20354024,-0.21084593,0.35538614,0.15664886,-0.028332673,-0.018381016,-0.1635105,0.11000411,-0.241396,0.14451744,-0.3268025,0.11801961,0.0016575115,-0.424878,0.23637722,-0.24714416,-0.12481304,0.14352071,0.05749069,0.043465223,-0.20433901,-0.35649186,-0.03288368,-0.055634886,0.029946703,-0.15241542,0.013488948,-0.09473859,-0.20923641,-0.13782117,0.094020866,0.19693236,0.1342651,-0.009750511,-0.00033077647,-0.09810448,0.054073997,-0.30207974,0.28221154,-0.083613075,-0.058240578,0.3729661,-0.08266748,-0.06690355,-0.28167108,-0.42380327,-0.305782,0.39274296,-0.029743157,-0.05105315,-0.05819654,-0.117471434,-0.29014677,-0.044357352,-0.12995254,-0.18706928,0.2981323,-0.02639974,0.025453515,0.025897052,-0.39863616,0.05542246,-0.17367464,0.39193657,0.22702591,0.22411571,-0.08981813,0.050265726,-0.14028779,0.22919679,0.13256925,-0.19084899,0.31815994,0.045029454,0.12954193,0.055278465,0.56935126,0.015397024,-0.30331004,-0.2863058,-0.07388398,-0.0745032
growth,0.0016572215,0.19627565,0.11088862,0.04085307,0.25330845,0.036088932,0.079743214,0.3042088,-0.22210778,-0.12221757,-0.08496418,-0.033008713,-0.3379721,-0.05325106,0.100061305,0.09584483,0.051551905,0.00653426,-0.28894767,-0.3695819,0.200826,0.19187719,0.21438919,-0.070799336,-0.20939273,0.017494623,-0.120617375,-0.03013353,-0.45947772,0.1759636,0.22763464,-0.31561163,0.11483809,-0.23925284,-0.025400031,0.13755876,-0.18920407,0.09342242,0.11577162,-0.32317868,0.39126116,-0.15771258,0.07926007,0.01863248,-0.041457187,-0.024676034,-0.32367635,-0.107060134,0.2730964,0.15340012,0.37313193,-0.28589487,0.046047956,-0.26688427,-0.23118253,-0.02736596,0.22554614,0.13112244,-0.19242115,0.03282174,-0.106897,0.10170889,0.018834598,-0.33084238,-0.09204995,0.44139454,-0.09528759,0.02618831,-0.23327981,-0.0012563933,-0.1666836,0.08970503,0.017263344,0.21228833,0.26599288,0.073866256,0.020263977,-0.037301134,-0.32665187,0.007023199,-0.30660167,0.08304197,-0.084258296,0.19160382,-0.15783972,-0.13195726,0.007879275,0.09622581,0.17528494,-0.12177918,0.3204744,0.2958895,-0.043996833,-0.04587357,0.20080476,-0.21065843,0.066899054,-0.21315221,-0.1352292,-0.057934392
exhibit,0.35025737,0.13417321,-0.010041929,-0.10133294,-0.03269651,0.06523222,0.24571471,0.32720488,-0.17119065,-0.2757923,-0.062141377,-0.07115138,-0.06982525,-0.13911039,0.009363611,0.05272523,0.08380135,0.0066938596,-0.27901784,-0.41154888,0.27070305,0.14057441,0.14461227,0.004198546,-0.26610583,0.084047355,-0.071588606,-0.15676892,-0.18827847,0.09640544,0.11192067,-0.04842876,0.16420202,-0.04420325,-0.18325926,0.025842568,-0.17884314,-0.12774764,-0.054783855,-0.4436979,0.25571266,-0.012294667,0.1524948,-0.16127826,0.07642089,-0.077528074,-0.16740985,-0.09856348,0.14406888,0.14450687,0.17333588,-0.16010752,-0.112319395,-0.24137932,-0.117867194,-0.12747891,0.16358505,0.13789076,-0.08092248,-0.075133145,0.0344007,-0.15427326,0.049184434,-0.25238734,-0.2525203,0.45263067,-0.15287896,-0.08629551,-0.36601552,0.16220003,-0.16145954,0.041304972,0.04905028,-9.261217e-05,0.0459857,0.034200124,0.16282715,0.17555092,-0.4777593,0.20145068,0.005748118,-0.030168373,-0.11209073,0.3826693,-0.055379808,-0.11783844,0.1700743,0.16942361,0.061424058,-0.17252314,0.25647157,0.06378798,-0.015861943,0.014631392,0.28950238,-0.08403578,-0.077323124,-0.19930333,-0.05991168,0.001492364
rate,0.2188588,0.33737716,0.23891465,-0.110947296,0.13015524,-0.8148566,0.068996415,0.59717923,0.05554161,-0.21081923,0.32116547,-0.122582965,-0.07861271,-0.11736174,0.16811739,-0.007627427,0.1235524,-0.40812117,-0.28047505,-0.3451744,-0.055930797,0.054005023,0.29296708,0.110407986,-0.17890432,0.27094543,0.05887694,0.056063183,-0.03565015,0.03294014,0.09332332,-0.3065527,0.24138285,-0.14314047,-0.12337159,0.068953685,0.1783857,-0.004147407,-0.1990537,-0.37442434,-0.042790763,-0.13397759,0.00622234,-0.2967799,0.18438359,-0.14747031,-0.12748964,-0.08394593,-0.07775285,0.20836826,-0.21919273,-0.10119033,-0.27684584,0.045185745,-0.10471685,0.04511326,0.09131091,0.03548423,-0.044956747,0.39857933,-0.16046084,-0.11353911,-0.024588924,0.06459547,-0.1968395,0.35707328,0.071136,0.28195277,0.037186157,-0.016037302,0.04392291,-0.15985864,0.16410384,-0.08448974,0.1231923,0.25729483,-0.035562374,0.23664074,-0.4701081,0.07253395,-0.14783795,0.33701128,0.03480868,-0.07865928,-0.13931076,0.05187895,-0.04207043,0.39300132,0.06323746,-0.19263421,0.21876708,-0.019380812,0.24562335,0.19725582,0.5248202,0.22346517,0.20632991,-0.0032989406,-0.20323987,-0.11758175
global,0.046755765,0.13855848,0.029060144,-0.33116448,0.15185344,-0.082565896,0.24674565,0.22988929,-0.013680624,-0.10129032,-0.17394409,-0.2484067,-0.059210636,-0.020601448,0.09669982,-0.06868371,-0.12592891,-0.054565664,-0.13711666,-0.5206943,0.536288,0.11109709,0.36149147,0.0035123779,-0.29301196,-0.07513086,-0.03777572,0.0002051503,-0.17184943,0.06869734,0.0851213,0.18483959,0.12102047,0.15290815,-0.20346993,0.021403598,-0.04065812,-0.12603098,-0.021951094,-0.4072507,0.37204665,-0.18353088,-0.06827834,-0.08312212,0.117181174,-0.14541504,-0.13175444,0.021684328,0.23306246,0.14164922,0.08506734,0.10736056,0.17622472,-0.40890262,-0.26337266,-0.04631715,0.24640176,0.017881593,-0.24423492,-0.36360267,0.0022084606,0.05444346,-0.13563628,-0.35019025,-0.13887262,0.3350161,0.048731823,0.10097903,-0.45218822,0.35023937,-0.43556935,-0.005806172,0.20660879,0.0203729,0.053961236,0.055241603,0.19643244,0.14873387,-0.21545558,0.12131532,0.0075278757,0.17499533,-0.34345853,0.30324927,-0.13846096,-0.14223106,0.11838708,-0.12087386,-0.18657286,-0.25244355,0.46686924,-0.03329945,0.03778153,0.057495754,0.16793239,-0.07248823,0.15191221,-0.069333255,0.025371132,-0.1568611
market,0.18306863,0.13056958,0.13487309,-0.13801181,-0.106356315,-0.24852899,-0.025186354,0.26933527,-0.04340173,-0.21347743,0.14920639,-0.038296856,0.030060796,-0.21407071,-0.13129357,-0.049759198,-0.0022106755,-0.03886722,-0.24153125,-0.33166996,0.0054018265,0.055226427,0.25769877,0.1189874,-0.15152337,-0.06428302,0.08060938,-0.29878834,-0.14988042,-0.04874716,0.081764795,-0.085794084,0.07645142,0.007387117,-0.07250279,0.34021863,-0.020672414,-0.14759246,0.004079756,-0.4040828,0.4407434,-0.12974265,-0.091053955,-0.19960329,0.04290491,-0.15441822,-0.20506358,-0.025547177,-0.03656209,0.008048224,0.099871114,-0.13986546,0.1786388,-0.03978446,-0.33279932,-0.08979996,0.1142983,-0.010503309,-0.13634598,0.056213226,0.14332378,-0.20172729,0.12774588,-0.2940809,-0.06734422,0.4967099,0.03782037,-0.10984097,-0.31385618,0.11043999,-0.14437501,-0.021423927,0.047606573,0.109382324,0.054458965,0.44367328,-0.047921594,0.16104314,-0.37380746,0.34128973,-0.06487344,0.036199074,-0.14494218,0.10324204,-0.47148553,-0.050176866,0.0060416344,0.15418032,0.14815006,0.11339302,0.27128527,0.13507256,-0.11071184,-0.05967467,0.47650966,-0.14455517,-0.055358518,-0.23911166,-0.17034209,0.021241793
investment,0.5021152,0.0579659,-0.28660408,-0.25274777,-0.06730796,-0.016128963,0.40462708,0.33643952,-0.12327478,-0.12374154,-0.04401358,-0.107027456,0.083463356,0.08712254,-0.045870498,0.03887447,0.25986022,0.08630199,-0.29472247,-0.5902469,0.1512893,0.12294249,0.36902034,0.024298599,-0.31955317,0.08331713,-0.07549148,-0.24439266,-0.15299825,0.031008173,0.41889623,0.27532414,0.2691505,0.059312496,-0.25209936,0.13500416,-0.26014912,-0.43501043,-0.06514271,-0.6141948,0.24507314,-0.063966855,0.26119646,-0.26260835,0.19956802,0.13330828,-0.15286674,-0.17996405,0.046423662,0.05025226,-0.04483055,-0.23630318,-0.09025263,-0.13392064,-0.05715306,-0.011552514,0.013017729,0.16509566,-0.036587764,-0.03225307,0.08546565,-0.1398082,0.06194448,-0.0104222335,-0.10052463,0.55352396,-0.13053384,0.00662898,-0.476606,0.39711893,-0.10966042,0.00018151801,0.14939159,0.04955405,0.10336594,-0.0781201,0.2522298,0.21806164,-0.37100747,0.10127232,0.00864717,-0.12102725,-0.43607363,0.46972632,-0.06855719,-0.1803238,0.47520915,0.038355082,-0.0048843343,-0.1745511,0.3699138,-0.054185238,-0.0031607286,0.08512802,0.15055513,-0.0420812,0.25575766,-0.29453564,-0.0020511302,0.09829257
gdp,0.26746428,0.13772738,-0.026943242,-0.00365426,0.3903287,-0.2274332,0.2005815,0.35441914,-0.13399842,0.026237804,-0.27696717,0.0859189,-0.327528,0.14042844,0.2599872,0.08627277,0.0878021,0.06143584,-0.3038309,-0.3950022,0.040688533,0.19608244,0.27149054,-0.22451073,-0.19714066,0.1464839,-0.12526949,-0.011313881,-0.5120712,0.21610305,0.4874945,-0.27086693,0.16060328,-0.33619612,-0.054208152,0.11768094,-0.38671786,0.1964907,0.1421574,-0.35620633,0.22233674,-0.044425946,0.17917807,0.16554743,0.021211116,-0.0842484,-0.35712585,-0.10204763,0.31212187,0.15657091,0.1423376,-0.25530517,-0.065936625,-0.3361844,-0.14659837,0.248611,-0.099099904,0.2840961,-0.058585383,0.12592009,-0.083891146,0.27313703,-0.014882717,0.05337653,0.041623723,0.5125476,-0.16358209,0.48048922,-0.09539882,-0.062371615,-0.06994541,0.19074906,0.095922016,0.36343023,0.52142197,-0.1130295,0.013476214,-0.027879352,-0.27706096,-0.26765248,-0.5147732,0.043268662,-0.2926887,0.30105975,0.05226587,-0.19511488,0.20802467,0.19242975,0.12847395,-0.3971648,0.41972518,0.3164143,0.032273684,0.23279215,0.09684601,-0.043482807,0.33477467,-0.2735097,-0.16480544,-0.15108836
recession,0.043596733,0.29043534,0.14484759,0.00738286,0.082922705,-0.19208969,0.113427825,0.18614517,-0.004113204,-0.14848669,0.31941843,0.0256392,-0.091057815,-0.40840927,0.18404065,0.008120412,-0.07659081,-0.3101164,-0.3297126,-0.2572156,0.19420964,0.19164379,0.21956426,-0.06284721,-0.2074913,0.085609965,-0.010916601,-0.21083659,-0.098218836,-0.10344715,0.09599317,-0.25974602,0.043411665,-0.02502718,-0.011392357,-0.029334854,-0.16072387,-0.033486515,-0.0024593596,-0.44382674,0.3330821,-0.22518696,-0.07254462,-0.31926048,-0.0038515131,-0.22239766,0.0130469855,-0.10273134,0.068902545,0.17943934,0.074022025,-0.32218653,-0.15461096,-0.08307676,-0.017748361,-0.10473084,0.26625267,0.012095261,-0.24681906,-0.10237465,-0.16004117,-0.11402795,0.0471978,-0.1603428,-0.16099295,0.3893857,-0.004015508,-0.07139924,-0.30618024,0.22998048,-0.13921845,-0.025791088,0.07480676,-0.008083252,-0.14547032,0.15003608,0.084957115,0.059122898,-0.51971126,0.21247199,-0.091761954,-0.03734005,-0.030283064,0.13228336,-0.08071848,-0.11300875,-0.090078905,0.2114471,0.095321804,0.0924283,0.032148723,-0.034198187,0.065220036,0.035699364,0.30890706,-0.0700609,0.07191446,0.13028196,-0.068174705,-0.19158845
prices,-0.0708923,-0.06229383,-0.041586027,0.20750195,0.05087121,-0.0862844,-0.094066285,0.35892025,-0.52527505,-0.31591707,-0.08566225,-0.19990757,-0.35486147,-0.024321746,0.10323993,0.0259723,-0.09058451,-0.35260922,0.023394093,-0.12980019,0.35800782,0.1583242,-0.28144246,-0.14398801,-0.08310741,-0.22486444,-0.27740684,0.016505362,-0.26406077,0.040942654,0.08478726,-0.38956,0.13978367,-0.030130025,-0.10440843,0.37949693,-0.05723458,-0.119328134,-0.1801784,-0.58612007,0.16455773,-0.2541245,0.10233609,0.017076565,0.13180703,-0.0631957,-0.30199164,-0.05564438,0.17594036,0.06499027,0.14377184,-0.020130925,0.1686432,0.11828731,0.16567227,-0.2915394,0.2009667,-0.14561814,-0.19008626,0.12598348,-0.09111809,0.30376434,-0.14047682,-0.3197781,-0.20972542,0.26013178,-0.027036712,-0.028558582,-0.08047086,0.01647678,-0.29141113,0.07036434,-0.1390709,-0.32528347,0.32350662,0.20866968,0.03450307,-0.15745224,-0.1404866,-0.10537907,-0.092839055,0.10110042,-0.01597509,0.36088893,0.10491484,0.05184587,0.015592895,0.41081458,0.34076115,0.0027240298,0.026956566,0.21233155,-0.026176782,-0.016815204,0.5388887,0.14151226,-0.37793142,-0.21181536,0.2643049,-0.21237674
