,x,y,z
inflation,3.7857456,-0.6338912,-1.5585043
growth,3.6987133,-0.71689934,-1.7334552
exhibit,3.1741052,-1.7655344,0.7115821
rate,4.1939383,-1.0923642,-1.4010674
global,3.0786254,-1.3409693,1.5271616
market,3.0437813,-1.9709777,-0.091186486
investment,3.1301644,-1.5855494,1.2536327
gdp,3.8318367,-0.03854622,-1.290268
recession,3.1026957,-1.7377034,-0.13580367
prices,3.7422454,-0.06636779,-1.6912744
rates,3.856952,-1.0894892,-1.51068
markets,2.938033,-2.338187,0.30651888
china,4.301991,0.5953022,-0.9597632
real,3.391726,-1.8499765,-0.5465479
policy,4.0800276,-1.1660975,-1.6599112
jan,1.5743625,3.9826033,0.2989387
expect,3.750163,-0.84566873,-1.4951657
energy,3.7397482,-0.047112145,-1.7011268
jun,1.5765018,3.9780095,0.29653284
strategy,3.1254966,-1.5429685,1.3425725
economic,3.8345325,-0.7278694,0.60334224
yield,3.211519,-2.0453298,0.7896109
returns,3.2669115,-2.1275003,0.4248953
risk,2.9714386,-2.322584,0.3730501
bloomberg,3.1069832,-1.454537,1.4687444
equity,3.0087945,-2.3935683,0.6783618
asset,3.0238864,-1.3959193,1.5205741
average,3.3937001,-1.6318495,0.4843294
december,3.1312792,-1.5533112,1.2987516
return,3.4722662,-1.6537379,0.4488918
fed,4.178623,-1.0849117,-1.4102523
forecasts,3.833436,-0.6534939,0.7111466
dec,1.5740808,3.9815357,0.29818845
term,3.0126727,-2.21027,0.11847284
economy,3.7002528,-0.8676114,-1.7258049
time,3.0745866,-1.6979631,-0.2906087
forecast,3.7836344,-0.24770664,-1.2468637
total,3.4991558,-1.5926936,0.42769492
usd,3.9069016,2.0241842,-0.53920627
price,3.3515081,-1.5589522,-0.3538969
unicredit,2.7773464,0.067076266,2.3042188
central,4.0177493,-1.1784592,-1.689891
financial,3.7135751,-1.1534579,-1.4983186
eur,3.9072907,2.0241914,-0.53911066
current,3.8485384,1.6506711,-0.6433657
income,3.2337213,-2.0921836,-0.16307054
jul,1.5741204,3.9811254,0.29865623
equities,3.0076537,-2.4110904,0.66410995
june,2.7155242,0.54130685,2.2800617
investors,2.9714968,-2.4070923,0.61574596
bonds,3.0650196,-2.2644925,0.7823972
tightening,4.0797625,-1.1641705,-1.653565
supply,3.6044886,-0.3318439,-1.6564841
services,3.7831323,0.17711073,-1.5512286
credit,3.0664499,-2.2519047,0.7529931
november,3.1005592,-1.4321693,1.4969796
cpi,4.03432,0.29926094,-1.5147312
expected,3.7101817,-0.7440837,-1.4191453
earnings,3.2732544,-1.7714138,-0.17474762
remain,3.7134063,-0.7915502,-1.8942095
consumer,3.4628363,-1.5023695,-0.97315973
july,3.9593906,-0.7374791,-1.0968395
macro,2.8868887,-0.47014862,2.051199
months,3.1607618,-1.6945415,0.013952633
core,4.034252,0.20158449,-1.5439264
apr,1.5738424,3.9818847,0.2984523
labor,3.543055,-0.60162604,-1.6278046
europe,4.14581,0.4840567,-0.9070706
levels,3.500975,-1.1360366,-1.3641065
risks,3.601039,-0.61438316,-1.4126977
covid,3.51513,-0.38612884,-1.6753592
yoy,4.00885,0.4433991,-1.439769
demand,3.5853643,-0.7427451,-1.6792272
change,3.8444593,-0.71669406,0.6484377
note,3.130993,-1.5713253,1.2935543
cycle,4.023946,-1.1368694,-1.5970908
federal,4.19343,-1.1013837,-1.4262197
peak,3.7304175,-0.7999776,-1.4549683
bond,3.1572058,-2.1501505,0.8353186
oil,3.729404,0.122727245,-1.7193936
analytics,3.0884807,-1.4041382,1.5578113
economics,2.8218112,-0.13614726,2.2180135
sector,3.2724893,-0.7539596,-1.2094768
pandemic,3.5728786,-1.0163722,-1.5661259
banks,4.012321,-1.1773232,-1.6884472
level,3.531495,-1.0121849,-1.3694105
month,3.3720484,-1.6309947,0.4170305
russia,4.240535,0.5163713,-1.0631591
decline,3.3046508,-1.6994952,-0.21940689
bp,4.197352,-1.088273,-1.410947
haver,3.0903387,-1.405572,1.5541133
corporate,3.1457334,-2.1726692,0.83386433
allocation,3.0228667,-1.3634446,1.5424012
debt,3.0036206,-2.3731506,0.52124023
based,3.1348112,-1.5994643,1.2580056
balance,3.7194047,-0.7012514,-1.28502
government,2.788362,-1.8123901,-0.2256669
continue,3.2999682,-1.3339716,-1.2599388
production,3.925815,0.73099273,-1.3378905
oct,1.5738894,3.9805598,0.29845664
ing,2.4724042,3.3973804,0.9385701
reserve,4.193523,-1.1006219,-1.425935
nov,1.5739288,3.9798298,0.29843816
conditions,3.720201,-1.1558999,-1.4874469
portfolio,3.0397086,-2.3683965,0.6297827
expectations,3.7742982,-0.657268,-1.546185
capital,3.0636792,-1.784151,0.77544993
key,3.4041052,-1.0196546,-1.180865
increase,3.6883154,-1.0321723,-1.4895278
eurozone,3.6552265,0.20757438,-1.0301157
dollar,2.950908,-2.3559587,0.41082495
performance,3.1384082,-1.6610352,1.1426167
mar,1.5742396,3.9795513,0.29831865
em,3.0281522,-2.2376955,0.643651
relative,2.9929855,-2.328299,0.4159239
funds,4.187043,-1.1005597,-1.3821073
gas,3.735153,0.10975336,-1.7219212
negative,3.2792807,-2.0410771,0.16652621
emerging,2.9364042,-2.3441763,0.30823004
analysis,3.0231853,-1.2750621,1.5910608
wage,3.6916678,-0.7427269,-1.7503984
japan,4.3888087,0.68897235,-0.9198937
assets,3.0426357,-2.3163445,0.38372576
target,3.9227743,-0.86077267,-1.3302844
sep,1.5744479,3.9789238,0.29817
euro,3.6871016,0.6461844,-1.1623775
monetary,4.074671,-1.1660327,-1.6638418
housing,3.6874604,-0.57942253,-1.6805398
basis,3.2948809,-1.7722344,0.5134666
european,3.4615693,-0.13407932,0.15001184
positive,3.2609174,-2.1524024,0.35980937
asia,4.189272,0.43467832,-0.9636354
ukraine,3.771823,-0.0032282374,-1.5533884
yields,3.1614463,-2.1340892,0.81710607
base,3.183844,-1.5068277,0.15041146
ecb,4.137717,-1.0518535,-1.38058
view,2.966782,-2.2926795,0.31529948
rise,3.66523,-0.77190864,-1.5783994
fixed,3.1781726,-2.1528544,-0.03910004
rising,3.7025745,-0.78007805,-1.8636847
activity,3.6752663,-0.77500975,-1.7605321
simple,3.1668174,-1.8264298,0.67042214
hike,4.166712,-1.0744811,-1.4078166
treasury,3.1977985,-2.0587826,0.7881974
remains,3.6144407,-0.7655353,-1.7003366
strong,3.2364166,-1.5995107,-0.9320263
support,3.52482,-0.66533893,-1.6556034
annual,3.846315,-0.59835505,-0.08840532
percent,3.8340974,-0.38591057,-1.179733
spending,3.435202,-1.3281442,-1.1840951
trend,3.6590345,-0.7873119,-1.728104
nominal,3.4183583,-1.7801577,-0.6279206
food,3.778091,0.084182024,-1.6307303
stocks,3.045355,-2.301826,0.6946745
industrial,3.9254882,0.7249658,-1.3356512
trade,3.6962073,0.64743465,-1.2023274
range,3.9102354,-0.94712293,-1.3372787
public,2.9463398,-2.1191025,0.030673567
october,3.1677039,-1.4477831,1.1318094
pre,3.5712554,-1.0195106,-1.5612084
aug,1.5739053,3.9809446,0.29850695
volatility,2.9655757,-2.343636,0.53730625
consumption,3.8117378,0.54905444,-1.2951535
january,2.8505082,-1.7934362,-0.21555378
cash,3.00125,-2.367547,0.51293945
pressure,3.6940274,-0.767403,-1.8325301
including,3.2768347,-1.4145138,-1.1830767
insights,3.1709778,-1.8115135,0.66998863
commodities,2.9508173,-2.2650082,0.2829961
median,3.357469,-1.6820446,0.5047835
headline,4.0360193,0.24939191,-1.5312363
bps,4.1984572,-1.0900179,-1.4023604
spreads,3.153003,-2.1503458,0.8241888
start,3.119887,-1.6884974,-0.12906067
recovery,3.361834,-0.78577685,-1.5377831
