,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
inflation,-0.12576942,0.058200285,0.21840951,0.06638379,0.053780857,-0.22931348,0.52510375,0.21500534,-0.084504694,-0.31502032,0.047502637,-0.40365157,-0.08654393,-0.044955663,-0.063153975,-0.03871731,0.1455662,-0.20108248,-0.15473069,-0.42066073,0.3964521,0.27623802,0.39685273,0.10818407,-0.21207507,-0.13943005,-0.0126287155,0.0045553665,-0.26139513,0.1976271,0.5754122,-0.2272731,0.42076725,-0.24455082,-0.15331174,0.09716063,0.30310366,-0.50023115,-0.3073458,-0.39633083,-0.40726274,-0.33375174,-0.004527113,-0.06143748,-0.13666923,0.030320331,-0.15472467,-0.15156537,0.3367641,0.2773074,0.07712732,0.077015854,0.046129677,0.084677145,-0.14691305,0.09379131,0.23378603,-0.18576345,-0.13229772,0.32462502,0.10829411,-0.002335945,-0.112999916,0.07211207,-0.29944402,-0.11723487,-0.1490102,0.369649,0.0076045236,0.30944812,-0.12311324,0.19675718,-0.12435767,0.12480247,0.45086506,-0.053546786,-0.014045161,0.24120079,-0.068738714,0.07572238,0.16598244,0.17677228,0.0281857,0.17349218,-0.22059643,0.36152568,0.16116935,0.1040815,-0.021050677,-0.18759048,0.15188643,-0.19483367,-0.0940517,-0.025343888,0.39953715,0.09094153,-0.067011885,-0.29856676,0.3604319,-0.11574391
investment,-0.144013,0.19325556,0.030326512,0.34980285,0.34485698,-0.08106956,-0.033200357,0.22974095,-0.040522847,-0.19276814,-0.28496608,-0.41344118,-0.28020975,0.40274316,-0.0775118,-0.09713806,0.25015727,0.23958524,-0.24409887,0.058312867,0.21506965,-0.25376588,0.3505727,-0.24664566,0.19847164,0.16000065,-0.34438568,0.1864761,0.0027456642,0.14702815,0.5913058,-0.35167783,0.0749048,-0.08341652,0.112974875,-0.14056145,0.29508376,0.00275721,0.18978225,-0.010232143,0.19514231,-0.14469664,0.024352917,-0.08848136,-0.33479398,-0.034244224,0.1143327,-0.081319116,0.38282937,0.09055918,0.40127084,-0.64074415,-0.03142453,0.072454296,-0.4680818,0.41287124,0.060129244,-0.08247263,-0.3145199,-0.041079525,-0.1723935,0.28349656,-0.046654236,0.08085874,0.1803147,0.44837114,0.11773668,0.12174241,-0.16424848,0.16267098,0.1258152,-0.09972585,0.45123222,0.3772147,0.17378572,0.047295302,-0.16297892,-0.15743084,0.055115506,-0.28445297,-0.67947096,0.014125574,-0.04629404,-0.06329772,0.0914356,-0.098736964,0.09686311,-0.4699498,0.09505728,-0.1365263,0.060599208,-0.108258925,0.16654359,-0.38088644,0.040060345,0.15386975,0.18656251,0.21004704,-0.2618371,0.033606328
market,-0.25626972,-0.00866717,-0.30614907,-0.0876111,0.22435394,-0.012589078,0.23952259,0.1790409,-0.20949803,-0.21738935,-0.19335562,-0.111223996,0.1382019,0.17259768,0.27061507,-0.08620137,0.028498398,0.18901484,0.0016688803,-0.5401614,0.13059174,0.006759836,0.5226923,-0.08798456,0.26901045,-0.2201566,-0.07600447,0.3900868,-0.17804652,-0.13676246,0.54461807,-0.11989242,0.112653546,0.05213895,-0.17969145,0.053040747,0.19192667,-0.22610019,-0.060889717,0.12437258,0.030108932,-0.20616485,-0.09508622,0.03929701,0.10852647,-0.024765657,-0.1605543,0.09474276,0.3187065,0.13311963,0.2714242,-0.17120565,-0.29622284,-0.04707162,-0.26021558,0.3032395,0.12511073,-0.3550066,0.010990698,0.21766308,0.021328155,0.17323473,0.030611647,0.23926322,-0.07932616,0.099853046,0.18604699,0.22144796,-0.1559816,0.4823701,-0.036782976,0.5012574,0.13026409,0.2695546,0.16287124,-0.17686038,-0.15325028,0.026556704,-0.112755165,0.0035533323,-0.08725279,-0.2550398,-0.05943058,0.23668362,-0.07103802,-0.013377689,-0.17116117,-0.36750802,0.061863497,-0.2179731,0.2261251,0.21911827,0.27767998,-0.0141403545,0.21948442,0.07709297,0.35580215,-0.1252244,0.3428177,0.051089216
growth,-0.21205598,0.15112007,0.25409368,-0.21380612,0.30345038,-0.028546317,0.32059705,0.32765454,-0.113660336,-0.4261517,-0.07170319,-0.15270928,-0.21757385,-0.13070643,0.0029439102,-0.17324856,0.2428673,0.18218587,0.07994444,-0.39819136,0.22132061,-0.38273028,0.7066304,0.14272527,-0.075764105,0.13153864,-0.1939636,-0.06218752,-0.10151703,0.04253709,0.32356703,-0.18132502,0.34450376,-0.28868818,0.109231226,-0.1758504,-0.012259196,-0.46055588,-0.287419,0.03993532,0.019349623,0.035089508,0.08114671,-0.14055766,-0.09916007,-0.17339228,0.061636217,-0.2513338,0.3257024,0.21544324,0.25468493,-0.26105672,-0.044708733,0.036329634,-0.12417646,0.031274565,0.018600468,-0.13975291,-0.09711503,0.1199567,-0.07141966,0.0937516,0.14949737,0.40454397,-0.13128085,-0.19821653,0.17639808,0.29298657,-0.1542863,0.44162408,-0.021815091,0.13289648,-0.13625732,0.20886256,0.21774359,-0.26802897,-0.016065203,0.18632695,-0.34211656,0.2046963,-0.37391117,0.08937373,0.012143068,0.31786174,-0.4547577,0.10162283,0.0021145681,0.03056655,-0.11386594,-0.33428517,0.32738826,-0.14949548,-0.12253027,-0.16438156,0.42454574,0.16473044,0.11660584,-0.11644359,0.20593284,0.09805262
exhibit,-0.03252828,-0.103247076,-0.0044430215,0.08916164,0.33778656,-0.10918524,0.36866608,0.37961182,-0.046096746,-0.3567144,0.066779085,-0.3576387,-0.21145162,0.14920975,-0.17476104,-0.01604416,0.17253526,0.12340394,0.03772103,-0.11289836,0.13946141,-0.28733864,0.36661202,-0.012828061,0.15497476,-0.13577846,-0.19454174,0.25105423,-0.03824051,0.11765594,0.49166626,-0.2804395,0.41718858,-0.2582854,0.115925424,-0.01571728,0.29232925,-0.34367862,-0.09835476,-0.13687886,-0.0011878427,-0.34675577,0.1539587,-0.044716675,-0.05488255,-0.15103953,-0.068384044,-0.16740857,0.47551414,0.07360109,0.22428899,-0.18214056,0.107060894,-0.016387993,-0.33442038,0.31529117,0.029645802,-0.13384031,-0.09156372,0.10681121,0.0059208563,0.17790224,0.12017199,0.17302103,-0.18073095,0.17336962,0.3754559,0.39511663,-0.13567926,0.3936092,0.10059606,-0.02887773,-0.019808926,0.407248,0.30727035,0.05416733,-0.029621199,0.17252341,-0.080214575,0.062472995,-0.23759763,0.021205053,0.009855476,0.118371785,-0.31103453,0.24649899,-0.029798489,-0.25232506,-0.17148954,-0.43021455,0.27766815,-0.19933994,0.03806894,-0.24368694,0.18509716,-0.06826777,0.07051897,-0.023274606,0.08955397,0.07776776
rate,-0.5671518,0.14865275,0.06981091,-0.22084711,-0.17621455,0.0031758284,0.387396,-0.042438217,-0.22625637,-0.24676426,-0.0617678,-0.47455806,-0.1595319,-0.20904633,-0.09587763,-0.39437026,0.030269457,-0.17425537,0.06552069,-0.32440242,0.17851989,0.13508783,0.5249401,0.22080569,-0.2907544,-0.23681921,-0.083643556,-0.09887049,-0.20010567,0.083386995,0.74294657,-0.060859397,0.48377222,-0.0010613964,-0.18233967,0.107425354,0.29090667,-0.32142052,-0.11756738,-0.13859299,-0.024359938,-0.62024283,0.19171983,-0.07062591,-0.124606125,-0.1833965,0.08071513,0.078179106,-0.0049305013,-0.11681579,0.08655743,-0.18798865,0.1138666,0.41989696,-0.26210833,0.2172791,0.42381743,-0.05523674,-0.45662895,0.3192386,0.35582575,0.008729553,0.09974178,-0.051133152,0.021353578,-0.052138757,0.15429084,0.23088652,-0.020179728,0.23156391,-0.13369192,0.14247906,0.06692689,0.37827414,0.4828401,0.36497936,-0.2315293,0.016497685,-0.086206466,-0.14277352,0.10927729,-0.26615772,-0.14497851,0.09487172,-0.13045344,-0.0034605744,-0.020546254,-0.014311543,-0.11048032,-0.19941257,0.29317757,-0.0027743017,-0.16713019,-0.0012311083,0.35855934,-0.18629119,0.041445203,-0.24982768,0.2412409,-0.25165644
global,0.23330584,-0.1738165,0.10728226,-0.012412924,0.32938033,-0.48463568,0.11150748,0.43689063,0.004921014,-0.39981106,-0.036871057,-0.33737096,-0.35379043,0.29295564,0.04106186,0.14033239,-0.034097344,0.36481917,-0.16213045,-0.14562526,0.0898391,-0.47615463,0.3158102,-0.026929999,-0.09474063,-0.018058952,-0.31728524,0.0029585112,0.06402671,0.21856835,0.5792379,-0.23040444,0.26804107,-0.04094095,-0.15685321,-0.21831061,-0.103600405,-0.22678967,-0.19002326,-0.32935807,0.04329744,-0.25634232,0.1288364,-0.20930518,0.041778326,-0.0023704928,-0.04906554,-0.3048091,0.4285398,0.13589638,0.42232376,-0.48194107,0.11073539,-0.08784235,-0.07117165,0.3431143,-0.085086904,-0.24739997,0.022430696,0.04712918,0.08792962,-0.043173354,0.23107567,-0.19344214,-0.31158325,-0.018213551,0.39200664,0.23011622,-0.4003473,0.3954553,0.14335449,-0.12240955,0.24867877,0.40184784,0.2484072,0.24461275,0.13216385,0.19829561,-0.12910847,0.07784106,-0.27189115,0.07173855,-0.05384018,0.1676763,-0.19742529,-0.051250346,0.2902478,-0.18797196,-0.17440191,-0.2758323,0.1311601,-0.008079647,0.007615758,-0.019468412,0.20403415,0.2346442,0.35086083,0.09598975,0.13910195,-0.21606769
asset,0.08080852,-0.2588781,0.45936418,0.2300099,0.28506917,-0.4138197,0.032649036,0.1328897,0.10557398,-0.713207,0.018830802,-0.5017843,-0.49535546,0.42592937,0.036734797,0.08075808,-0.09503065,-0.039512545,-0.31851426,-0.10181086,-0.06807465,0.2421433,0.13253039,-0.34629503,0.0011526971,0.21521857,-0.324788,0.33307594,0.05188153,0.38032097,0.3840314,-0.22869739,0.12720245,-0.19181108,-0.015416413,0.4249204,0.13876233,-0.27506107,-0.11706344,-0.05349117,0.4118009,-0.19818006,0.14887281,-0.024824446,0.47511882,-0.13303044,-0.24577029,0.20380105,0.63195807,0.07573427,0.28639057,-0.56221735,0.24757773,-0.16742136,-0.6791099,0.7663753,-0.075352274,-0.18053807,0.23487487,-0.015650813,-0.067305274,0.2862351,-0.17491819,0.18058495,-0.23335804,0.3782197,0.014943338,0.34390017,-0.078661114,0.38708553,0.21833694,0.08510262,0.45215604,0.45885962,0.21362087,0.40331784,0.29600528,-0.3562144,-0.13523573,-0.1875198,-0.22218381,0.123990804,-0.08479854,-0.043587416,0.11948533,0.3029875,0.014166423,-0.25784028,-0.103064686,0.09600163,0.06477064,-0.29085562,-0.15810995,-0.05227981,-0.22943237,0.020131253,0.11474427,0.16466616,0.089422405,-0.09175792
financial,-0.24049203,0.4283534,-0.2148517,0.010856917,0.07066393,0.13559765,-0.020383878,-0.13519105,-0.21355475,0.21734364,-0.37435895,-0.12365464,0.046481956,0.31356266,0.3310629,-0.16384159,-0.12403088,0.27081227,-0.39556536,-0.52335787,0.069936365,0.03299884,0.52443427,-0.24249598,0.096552245,0.03373024,-0.30908126,-0.14708507,-0.011967658,-0.103393644,0.72190315,-0.2672311,0.005940541,0.33568445,0.09650561,-0.19585873,0.03528578,0.074890085,0.09506792,-0.2608108,0.019123442,-0.042255964,0.04379244,-0.153823,0.122827426,0.0802608,-0.16155463,0.17329617,0.48667997,0.08613327,0.46271157,-0.5467929,-0.26697966,0.13721083,-0.008847215,0.49611163,-0.11402529,-0.11891126,-0.11439014,0.22650392,0.038189646,0.060522377,-0.0029009115,0.2548217,0.080212355,-0.041210514,-0.13546848,0.08125993,-0.34561497,0.42569858,-0.20344648,0.044919632,0.4571721,0.18368535,-0.17148061,-0.22931552,-0.123998836,-0.11707151,-0.11547409,-0.15980612,-0.22730225,-0.4093334,0.013800625,0.3235149,0.1810998,-0.17349066,-0.045215655,-0.33604026,0.18021944,0.2218259,0.22426046,0.01102525,0.2699598,-0.27579245,0.137957,0.20107712,0.30387074,0.108665876,0.22683616,-0.088033296
markets,-0.09635521,-0.14085047,-0.2842968,0.13488565,0.30532402,-0.21115024,0.08441698,0.46276107,-0.37955552,-0.31475562,0.0029881457,-0.27552712,-0.012886573,0.17605115,0.21814084,0.08997489,-0.0903057,0.19442306,0.095764644,-0.43036103,0.006812838,-0.29840973,0.43447164,-0.018403491,0.14183503,-0.11841517,-0.21280894,0.29752237,-0.07718074,-0.21627948,0.6026919,-0.21439645,0.18085851,0.1470477,-0.22652078,0.13321522,0.07383444,-0.21778145,-0.11498629,-0.093526125,0.19747452,-0.24359556,-0.23503883,0.10300102,0.18419224,0.07371835,-0.17018098,0.093206935,0.24383822,0.1547258,0.37136897,-0.23683491,-0.25354555,-0.22982894,-0.12690249,0.261634,0.041327987,-0.36218965,-0.1487904,0.13683878,-0.07831998,0.14507303,0.11720225,-0.0019855027,-0.1968474,0.13415562,0.3068486,0.10085853,-0.21255714,0.35635594,0.13273416,0.4003473,0.22679318,0.44571465,0.10698204,0.0074053095,-0.0031216203,-0.086137116,-0.11073903,0.043200143,-0.13995224,-0.12656522,0.061983824,0.28428084,-0.13663296,-0.0047400785,-0.029355254,-0.38864893,0.014572728,-0.14171262,0.316126,0.28504294,0.21652505,0.19196646,0.18176171,0.079053886,0.2553683,-0.04496506,0.15250516,0.09163847
